Supplier,Supplier Domain,Product Name,Preferred Units,Band #,Length (bp),Mass,Note,Total Bands,Product URL
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,1,908,104,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,2,659,76,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,3,656,75,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,4,521,60,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,5,403,46,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,6,281,32,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,7,257,29,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,8,226,26,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,9,100,11,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,10,90,10,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,11,63,7,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,12,57,7,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,13,49,6,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,14,46,5,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,15,19,2,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,16,15,2,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,17,11,1,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – BstNI Digest,bp,1,1857,213,,6,http://www.neb.com/nebecomm/products/productN3031.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – BstNI Digest,bp,2,1058,121,,6,http://www.neb.com/nebecomm/products/productN3031.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – BstNI Digest,bp,3,929,107,,6,http://www.neb.com/nebecomm/products/productN3031.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – BstNI Digest,bp,4,383,44,,6,http://www.neb.com/nebecomm/products/productN3031.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – BstNI Digest,bp,5,121,14,,6,http://www.neb.com/nebecomm/products/productN3031.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – BstNI Digest,bp,6,13,1,,6,http://www.neb.com/nebecomm/products/productN3031.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,1,587,67,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,2,540,62,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,3,502,58,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,4,458,53,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,5,434,50,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,6,267,31,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,7,234,27,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,8,213,24,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,9,192,22,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,10,184,21,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,11,124,14,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,12,123,14,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,13,104,12,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,14,89,10,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,15,80,9,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,16,64,7,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,17,57,7,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,18,51,6,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,19,21,2,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,20,18,2,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,21,11,1,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,22,8,1,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,1,622,71,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,2,527,60,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,3,404,46,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,4,307,35,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,5,242,28,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,6,238,27,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,7,217,25,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,8,201,23,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,9,190,22,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,10,180,21,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,11,160,18,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,12,160,18,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,13,147,17,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,14,147,17,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,15,123,14,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,16,110,13,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,17,90,10,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,18,76,9,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,19,67,8,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,20,34,4,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,21,34,4,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,22,26,3,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,23,26,3,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,24,15,2,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,25,9,1,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,26,9,1,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pUC19 – MspI (HpaII) Digest,bp,1,501,93,,11,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm022-puc19-dna-mspi
Phage and Plasmid Markers,fermentas.com,pUC19 – MspI (HpaII) Digest,bp,2,489,91,,11,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm022-puc19-dna-mspi
Phage and Plasmid Markers,fermentas.com,pUC19 – MspI (HpaII) Digest,bp,3,404,75,,11,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm022-puc19-dna-mspi
Phage and Plasmid Markers,fermentas.com,pUC19 – MspI (HpaII) Digest,bp,4,331,62,,11,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm022-puc19-dna-mspi
Phage and Plasmid Markers,fermentas.com,pUC19 – MspI (HpaII) Digest,bp,5,242,45,,11,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm022-puc19-dna-mspi
Phage and Plasmid Markers,fermentas.com,pUC19 – MspI (HpaII) Digest,bp,6,190,35,,11,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm022-puc19-dna-mspi
Phage and Plasmid Markers,fermentas.com,pUC19 – MspI (HpaII) Digest,bp,7,147,27,,11,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm022-puc19-dna-mspi
Phage and Plasmid Markers,fermentas.com,pUC19 – MspI (HpaII) Digest,bp,8,111,21,,11,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm022-puc19-dna-mspi
Phage and Plasmid Markers,fermentas.com,pUC19 – MspI (HpaII) Digest,bp,9,110,21,,11,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm022-puc19-dna-mspi
Phage and Plasmid Markers,fermentas.com,pUC19 – MspI (HpaII) Digest,bp,10,67,13,,11,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm022-puc19-dna-mspi
Phage and Plasmid Markers,fermentas.com,pUC19 – MspI (HpaII) Digest,bp,11,34,13,,11,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm022-puc19-dna-mspi
Phage and Plasmid Markers,fermentas.com,pUC19 – Sau3AI Digest,bp,1,955,178,,15,http://products.invitrogen.com/ivgn/product/AM7760
Phage and Plasmid Markers,fermentas.com,pUC19 – Sau3AI Digest,bp,2,585,109,,15,http://products.invitrogen.com/ivgn/product/AM7760
Phage and Plasmid Markers,fermentas.com,pUC19 – Sau3AI Digest,bp,3,341,63,,15,http://products.invitrogen.com/ivgn/product/AM7760
Phage and Plasmid Markers,fermentas.com,pUC19 – Sau3AI Digest,bp,4,258,48,,15,http://products.invitrogen.com/ivgn/product/AM7760
Phage and Plasmid Markers,fermentas.com,pUC19 – Sau3AI Digest,bp,5,141,26,,15,http://products.invitrogen.com/ivgn/product/AM7760
Phage and Plasmid Markers,fermentas.com,pUC19 – Sau3AI Digest,bp,6,105,20,,15,http://products.invitrogen.com/ivgn/product/AM7760
Phage and Plasmid Markers,fermentas.com,pUC19 – Sau3AI Digest,bp,7,78,15,,15,http://products.invitrogen.com/ivgn/product/AM7760
Phage and Plasmid Markers,fermentas.com,pUC19 – Sau3AI Digest,bp,8,75,14,,15,http://products.invitrogen.com/ivgn/product/AM7760
Phage and Plasmid Markers,fermentas.com,pUC19 – Sau3AI Digest,bp,9,46,9,,15,http://products.invitrogen.com/ivgn/product/AM7760
Phage and Plasmid Markers,fermentas.com,pUC19 – Sau3AI Digest,bp,10,36,7,,15,http://products.invitrogen.com/ivgn/product/AM7760
Phage and Plasmid Markers,fermentas.com,pUC19 – Sau3AI Digest,bp,11,18,4,,15,http://products.invitrogen.com/ivgn/product/AM7760
Phage and Plasmid Markers,fermentas.com,pUC19 – Sau3AI Digest,bp,12,17,3,,15,http://products.invitrogen.com/ivgn/product/AM7760
Phage and Plasmid Markers,fermentas.com,pUC19 – Sau3AI Digest,bp,13,12,2,,15,http://products.invitrogen.com/ivgn/product/AM7760
Phage and Plasmid Markers,fermentas.com,pUC19 – Sau3AI Digest,bp,14,11,2,,15,http://products.invitrogen.com/ivgn/product/AM7760
Phage and Plasmid Markers,fermentas.com,pUC19 – Sau3AI Digest,bp,15,8,1,,15,http://products.invitrogen.com/ivgn/product/AM7760
Phage and Plasmid Markers,fermentas.com,λ DNA – BstEII (BstPI) Digest,bp,1,8454,174,,14,http://www.neb.com/nebecomm/products/productN3014.asp
Phage and Plasmid Markers,fermentas.com,λ DNA – BstEII (BstPI) Digest,bp,2,7242,149,,14,http://www.neb.com/nebecomm/products/productN3014.asp
Phage and Plasmid Markers,fermentas.com,λ DNA – BstEII (BstPI) Digest,bp,3,6369,131,,14,http://www.neb.com/nebecomm/products/productN3014.asp
Phage and Plasmid Markers,fermentas.com,λ DNA – BstEII (BstPI) Digest,bp,4,5686,117,,14,http://www.neb.com/nebecomm/products/productN3014.asp
Phage and Plasmid Markers,fermentas.com,λ DNA – BstEII (BstPI) Digest,bp,5,4822,99,,14,http://www.neb.com/nebecomm/products/productN3014.asp
Phage and Plasmid Markers,fermentas.com,λ DNA – BstEII (BstPI) Digest,bp,6,4324,89,,14,http://www.neb.com/nebecomm/products/productN3014.asp
Phage and Plasmid Markers,fermentas.com,λ DNA – BstEII (BstPI) Digest,bp,7,3675,76,,14,http://www.neb.com/nebecomm/products/productN3014.asp
Phage and Plasmid Markers,fermentas.com,λ DNA – BstEII (BstPI) Digest,bp,8,2323,48,,14,http://www.neb.com/nebecomm/products/productN3014.asp
Phage and Plasmid Markers,fermentas.com,λ DNA – BstEII (BstPI) Digest,bp,9,1929,40,,14,http://www.neb.com/nebecomm/products/productN3014.asp
Phage and Plasmid Markers,fermentas.com,λ DNA – BstEII (BstPI) Digest,bp,10,1371,28,,14,http://www.neb.com/nebecomm/products/productN3014.asp
Phage and Plasmid Markers,fermentas.com,λ DNA – BstEII (BstPI) Digest,bp,11,1264,26,,14,http://www.neb.com/nebecomm/products/productN3014.asp
Phage and Plasmid Markers,fermentas.com,λ DNA – BstEII (BstPI) Digest,bp,12,702,14,,14,http://www.neb.com/nebecomm/products/productN3014.asp
Phage and Plasmid Markers,fermentas.com,λ DNA – BstEII (BstPI) Digest,bp,13,224,5,,14,http://www.neb.com/nebecomm/products/productN3014.asp
Phage and Plasmid Markers,fermentas.com,λ DNA – BstEII (BstPI) Digest,bp,14,117,2,,14,http://www.neb.com/nebecomm/products/productN3014.asp
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoRI & HindIII Digest,bp,1,21226,438,,12,http://www.fermentas.com/en/products/all/dna-electrophoresis/lambda-dna-markers/sm019-lambda-dna-ecori-hindiii
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoRI & HindIII Digest,bp,2,5148,106,,12,http://www.fermentas.com/en/products/all/dna-electrophoresis/lambda-dna-markers/sm019-lambda-dna-ecori-hindiii
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoRI & HindIII Digest,bp,3,4973,102,,12,http://www.fermentas.com/en/products/all/dna-electrophoresis/lambda-dna-markers/sm019-lambda-dna-ecori-hindiii
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoRI & HindIII Digest,bp,4,4268,88,,12,http://www.fermentas.com/en/products/all/dna-electrophoresis/lambda-dna-markers/sm019-lambda-dna-ecori-hindiii
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoRI & HindIII Digest,bp,5,3530,73,,12,http://www.fermentas.com/en/products/all/dna-electrophoresis/lambda-dna-markers/sm019-lambda-dna-ecori-hindiii
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoRI & HindIII Digest,bp,6,2027,42,,12,http://www.fermentas.com/en/products/all/dna-electrophoresis/lambda-dna-markers/sm019-lambda-dna-ecori-hindiii
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoRI & HindIII Digest,bp,7,1904,39,,12,http://www.fermentas.com/en/products/all/dna-electrophoresis/lambda-dna-markers/sm019-lambda-dna-ecori-hindiii
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoRI & HindIII Digest,bp,8,1584,32,,12,http://www.fermentas.com/en/products/all/dna-electrophoresis/lambda-dna-markers/sm019-lambda-dna-ecori-hindiii
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoRI & HindIII Digest,bp,9,1375,28,,12,http://www.fermentas.com/en/products/all/dna-electrophoresis/lambda-dna-markers/sm019-lambda-dna-ecori-hindiii
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoRI & HindIII Digest,bp,10,947,20,,12,http://www.fermentas.com/en/products/all/dna-electrophoresis/lambda-dna-markers/sm019-lambda-dna-ecori-hindiii
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoRI & HindIII Digest,bp,11,831,17,,12,http://www.fermentas.com/en/products/all/dna-electrophoresis/lambda-dna-markers/sm019-lambda-dna-ecori-hindiii
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoRI & HindIII Digest,bp,12,564,12,,12,http://www.fermentas.com/en/products/all/dna-electrophoresis/lambda-dna-markers/sm019-lambda-dna-ecori-hindiii
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoRI Digest,bp,1,21226,438,,6,http://www.fermentas.com/en/products/all/dna-electrophoresis/lambda-dna-markers/sm028-lambda-dna-ecori
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoRI Digest,bp,2,7421,153,,6,http://www.fermentas.com/en/products/all/dna-electrophoresis/lambda-dna-markers/sm028-lambda-dna-ecori
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoRI Digest,bp,3,5804,120,,6,http://www.fermentas.com/en/products/all/dna-electrophoresis/lambda-dna-markers/sm028-lambda-dna-ecori
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoRI Digest,bp,4,5643,116,,6,http://www.fermentas.com/en/products/all/dna-electrophoresis/lambda-dna-markers/sm028-lambda-dna-ecori
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoRI Digest,bp,5,4878,101,,6,http://www.fermentas.com/en/products/all/dna-electrophoresis/lambda-dna-markers/sm028-lambda-dna-ecori
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoRI Digest,bp,6,3530,73,,6,http://www.fermentas.com/en/products/all/dna-electrophoresis/lambda-dna-markers/sm028-lambda-dna-ecori
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoT14I & BglII Digest Mixture,bp,1,22010,227,,18,http://www.clontech.com/takara/US/Products/Molecular_Biology/Molecular_Biology_Reagents/Molecular_Weight_Markers/DNA_Molecular_Weight_Standard_Markers?sitex=10031:22372:US
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoT14I & BglII Digest Mixture,bp,2,19329,199,,18,http://www.clontech.com/takara/US/Products/Molecular_Biology/Molecular_Biology_Reagents/Molecular_Weight_Markers/DNA_Molecular_Weight_Standard_Markers?sitex=10031:22372:US
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoT14I & BglII Digest Mixture,bp,3,13286,136,,18,http://www.clontech.com/takara/US/Products/Molecular_Biology/Molecular_Biology_Reagents/Molecular_Weight_Markers/DNA_Molecular_Weight_Standard_Markers?sitex=10031:22372:US
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoT14I & BglII Digest Mixture,bp,4,9688,99,,18,http://www.clontech.com/takara/US/Products/Molecular_Biology/Molecular_Biology_Reagents/Molecular_Weight_Markers/DNA_Molecular_Weight_Standard_Markers?sitex=10031:22372:US
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoT14I & BglII Digest Mixture,bp,5,7743,80,,18,http://www.clontech.com/takara/US/Products/Molecular_Biology/Molecular_Biology_Reagents/Molecular_Weight_Markers/DNA_Molecular_Weight_Standard_Markers?sitex=10031:22372:US
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoT14I & BglII Digest Mixture,bp,6,6223,64,,18,http://www.clontech.com/takara/US/Products/Molecular_Biology/Molecular_Biology_Reagents/Molecular_Weight_Markers/DNA_Molecular_Weight_Standard_Markers?sitex=10031:22372:US
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoT14I & BglII Digest Mixture,bp,7,4254,44,,18,http://www.clontech.com/takara/US/Products/Molecular_Biology/Molecular_Biology_Reagents/Molecular_Weight_Markers/DNA_Molecular_Weight_Standard_Markers?sitex=10031:22372:US
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoT14I & BglII Digest Mixture,bp,8,3472,36,,18,http://www.clontech.com/takara/US/Products/Molecular_Biology/Molecular_Biology_Reagents/Molecular_Weight_Markers/DNA_Molecular_Weight_Standard_Markers?sitex=10031:22372:US
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoT14I & BglII Digest Mixture,bp,9,2690,28,,18,http://www.clontech.com/takara/US/Products/Molecular_Biology/Molecular_Biology_Reagents/Molecular_Weight_Markers/DNA_Molecular_Weight_Standard_Markers?sitex=10031:22372:US
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoT14I & BglII Digest Mixture,bp,10,2392,25,,18,http://www.clontech.com/takara/US/Products/Molecular_Biology/Molecular_Biology_Reagents/Molecular_Weight_Markers/DNA_Molecular_Weight_Standard_Markers?sitex=10031:22372:US
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoT14I & BglII Digest Mixture,bp,11,1882,19,,18,http://www.clontech.com/takara/US/Products/Molecular_Biology/Molecular_Biology_Reagents/Molecular_Weight_Markers/DNA_Molecular_Weight_Standard_Markers?sitex=10031:22372:US
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoT14I & BglII Digest Mixture,bp,12,1489,15,,18,http://www.clontech.com/takara/US/Products/Molecular_Biology/Molecular_Biology_Reagents/Molecular_Weight_Markers/DNA_Molecular_Weight_Standard_Markers?sitex=10031:22372:US
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoT14I & BglII Digest Mixture,bp,13,925,10,,18,http://www.clontech.com/takara/US/Products/Molecular_Biology/Molecular_Biology_Reagents/Molecular_Weight_Markers/DNA_Molecular_Weight_Standard_Markers?sitex=10031:22372:US
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoT14I & BglII Digest Mixture,bp,14,651,7,,18,http://www.clontech.com/takara/US/Products/Molecular_Biology/Molecular_Biology_Reagents/Molecular_Weight_Markers/DNA_Molecular_Weight_Standard_Markers?sitex=10031:22372:US
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoT14I & BglII Digest Mixture,bp,15,421,4,,18,http://www.clontech.com/takara/US/Products/Molecular_Biology/Molecular_Biology_Reagents/Molecular_Weight_Markers/DNA_Molecular_Weight_Standard_Markers?sitex=10031:22372:US
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoT14I & BglII Digest Mixture,bp,16,415,4,,18,http://www.clontech.com/takara/US/Products/Molecular_Biology/Molecular_Biology_Reagents/Molecular_Weight_Markers/DNA_Molecular_Weight_Standard_Markers?sitex=10031:22372:US
Phage and Plasmid Markers,fermentas.com,λ DNA – EcoT14I & BglII Digest Mixture,bp,17,74,1,,18,http://www.clontech.com/takara/US/Products/Molecular_Biology/Molecular_Biology_Reagents/Molecular_Weight_Markers/DNA_Molecular_Weight_Standard_Markers?sitex=10031:22372:US
